,0,1,2,3
158,Northeastern,107.0,106.4,0.6
159,Tennessee St.,100.3,99.7,0.6
160,North Carolina Central,102.3,101.9,0.4
161,Western Michigan,107.1,106.8,0.3
162,Washington,107.8,107.4,0.4
163,Wright St.,106.6,106.2,0.4
164,Lipscomb,107.3,107.0,0.3
165,Samford,107.8,107.5,0.3
166,North Dakota St.,104.6,104.4,0.2
167,North Dakota,103.6,103.6,0.0
168,Northern Iowa,97.6,97.6,0.0
169,Siena,106.2,106.4,-0.2
170,Penn,102.6,102.8,-0.2
171,LSU,109.6,109.9,-0.3
172,Boston College,103.9,104.2,-0.3
173,Texas St.,101.4,101.7,-0.3
174,Loyola Marymount,103.0,103.4,-0.4
175,Nebraska Omaha,108.6,109.0,-0.4
176,Texas A&M; Corpus Chris,102.9,103.4,-0.5
177,New Orleans,101.2,101.8,-0.6
178,Weber St.,108.5,109.0,-0.5
179,Ball St.,104.8,105.4,-0.6
180,Gardner Webb,102.7,103.5,-0.8
181,New Hampshire,102.4,103.2,-0.8
182,Saint Joseph's,102.2,103.2,-1.0
183,DePaul,103.5,104.5,-1.0
184,South Dakota St.,110.2,111.4,-1.2
185,Eastern Washington,109.6,110.8,-1.2
186,Canisius,108.6,109.9,-1.3
187,Hofstra,111.0,112.4,-1.4
188,Denver,107.7,109.1,-1.4
189,Green Bay,102.0,103.4,-1.4
190,East Carolina,97.0,98.5,-1.5
191,Boston University,101.7,103.4,-1.7
192,Washington St.,104.4,106.1,-1.7
193,Montana,106.1,108.2,-2.1
194,Georgia Southern,105.2,107.3,-2.1
195,UAB,103.9,106.4,-2.5
196,Murray St.,107.2,109.8,-2.6
197,IUPUI,107.0,109.8,-2.8
198,Indiana St.,99.5,102.3,-2.8
199,UTEP,99.7,102.7,-3.0
200,UMBC,107.9,110.8,-2.9
201,Fordham,96.9,100.0,-3.1
202,Morehead St.,106.7,109.8,-3.1
203,Fairfield,99.8,103.1,-3.3
204,Northern Illinois,98.9,102.4,-3.5
205,Navy,99.9,103.4,-3.5
206,Coastal Carolina,101.8,105.4,-3.6
207,Rider,100.8,104.5,-3.7
208,Mount St. Mary's,99.6,103.4,-3.8
209,Tennessee Martin,106.7,110.6,-3.9
210,Liberty,99.9,103.9,-4.0
211,Texas Southern,103.5,107.5,-4.0
212,San Jose St.,100.4,104.5,-4.1
213,Stony Brook,101.8,105.9,-4.1
214,Holy Cross,98.7,102.9,-4.2
215,Idaho,101.8,106.0,-4.2
216,Bradley,98.4,102.7,-4.3
217,UC Davis,97.8,102.2,-4.4
218,UMKC,103.0,107.4,-4.4
219,Eastern Illinois,100.1,105.0,-4.9
220,Houston Baptist,105.2,110.3,-5.1
221,Air Force,104.3,109.5,-5.2
222,James Madison,98.8,104.1,-5.3
223,Duquesne,101.9,107.3,-5.4
224,Long Beach St.,104.7,110.1,-5.4
225,Lamar,103.2,108.8,-5.6
226,Loyola MD,98.4,104.2,-5.8
227,Southeast Missouri St.,103.4,109.3,-5.9
228,Central Michigan,111.6,117.6,-6.0
229,Army,98.6,104.6,-6.0
230,Southeastern Louisiana,97.8,103.8,-6.0
231,Western Kentucky,103.0,109.1,-6.1
232,Stephen F. Austin,96.7,102.9,-6.2
233,Sam Houston St.,97.2,103.4,-6.2
234,Columbia,101.1,107.4,-6.3
235,Oral Roberts,104.4,110.7,-6.3
236,Charlotte,103.2,109.5,-6.3
237,Illinois Chicago,101.1,107.5,-6.4
238,Montana St.,103.1,109.6,-6.5
239,Portland St.,104.4,110.9,-6.5
240,Tulane,102.6,109.2,-6.6
241,Cleveland St.,96.5,103.2,-6.7
242,South Alabama,98.7,105.5,-6.8
243,USC Upstate,104.2,111.1,-6.9
244,Little Rock,98.2,105.1,-6.9
245,Pacific,99.5,106.5,-7.0
246,Wagner,101.0,108.0,-7.0
247,UNLV,98.3,105.3,-7.0
248,Bowling Green,100.1,107.2,-7.1
249,Drexel,102.9,110.1,-7.2
250,UTSA,95.4,102.7,-7.3
251,LIU Brooklyn,100.2,107.7,-7.5
252,Kennesaw St.,102.7,110.2,-7.5
253,St. Francis PA,102.2,109.8,-7.6
254,North Florida,101.8,109.5,-7.7
255,Niagara,101.4,109.3,-7.9
256,Tennessee Tech,98.9,107.0,-8.1
257,Drake,102.9,111.1,-8.2
258,Milwaukee,100.0,108.3,-8.3
259,San Diego,100.1,108.4,-8.3
260,Cal St. Fullerton,97.0,105.6,-8.6
261,Louisiana Monroe,98.3,106.9,-8.6
262,Cornell,99.7,108.4,-8.7
263,Oregon St.,97.0,105.7,-8.7
264,Seattle,96.0,104.7,-8.7
265,Robert Morris,91.7,100.4,-8.7
266,Fairleigh Dickinson,103.1,111.9,-8.8
267,Colgate,98.7,107.6,-8.9
268,Hawaii,97.1,106.1,-9.0
269,High Point,98.9,108.1,-9.2
270,Florida Atlantic,98.6,108.0,-9.4
271,Eastern Kentucky,98.4,107.8,-9.4
272,Saint Louis,95.4,105.0,-9.6
273,Appalachian St.,99.5,109.1,-9.6
